id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,date_of_data_download,days_since_last_review
24352396,Bright & Relaxing 2 Bedroom Apartment,23787113,Allston,42.34811,-71.13185,Entire home/apt,85,91,78,2019-07-22,4.0,1,0,2020-01-31,193 days 00:00:00.000000000
24356120,COMFORTABLE PLACE IN ROSLINDALE,183787878,Roslindale,42.279070000000004,-71.13075,Entire home/apt,100,29,1,2019-06-25,0.18,1,0,2020-01-31,220 days 00:00:00.000000000
24372360,Spacious 2BR by Fenway with washer/dryer & WIFI,9419684,Fenway,42.3433,-71.10038,Entire home/apt,599,29,2,2018-10-21,0.14,68,119,2020-01-31,467 days 00:00:00.000000000
24378766,Downtown Theater District & Boston Common Park,799496,Downtown,42.352709999999995,-71.06369000000001,Entire home/apt,100,2,53,2019-11-30,2.68,4,320,2020-01-31,62 days 00:00:00.000000000
24397626,Sunny condo on tree-lined street (long-term stay),4482328,Brighton,42.33757,-71.14869,Entire home/apt,179,153,0,,,1,80,2020-01-31,
24412927,Cozy Colonial (entire home) near Lower Mills,46315640,Mattapan,42.2757,-71.08792,Entire home/apt,100,91,3,2018-09-03,0.18,2,152,2020-01-31,515 days 00:00:00.000000000
24464925,"Lux 2BR 2BA Apt w/rooftop deck, gym, WiFi",9419684,Mission Hill,42.33067,-71.11247,Entire home/apt,199,29,1,2018-05-31,0.05,68,119,2020-01-31,610 days 00:00:00.000000000
24465270,"Lux 2BR 2BA Apt w/rooftop deck, gym, WiFi",9419684,Mission Hill,42.33023,-71.11291,Entire home/apt,199,29,0,,,68,119,2020-01-31,
24465886,"Lux 2BR 2BA Apt w/rooftop deck, gym, WiFi",9419684,Mission Hill,42.33211,-71.11304,Entire home/apt,199,29,1,2018-09-30,0.07,68,119,2020-01-31,488 days 00:00:00.000000000
24466743,"Lux 3BR Apt w/rooftop deck, gym, WiFi",9419684,Mission Hill,42.33208,-71.11105,Entire home/apt,239,91,11,2019-07-07,0.59,68,327,2020-01-31,208 days 00:00:00.000000000
24467263,"Lux 3BR Apt w/rooftop deck, gym, WiFi",9419684,Mission Hill,42.33011,-71.11145,Entire home/apt,239,29,1,2019-07-02,0.19,68,365,2020-01-31,213 days 00:00:00.000000000
24467656,"Lux 3BR Apt w/rooftop deck, gym, WiFi",9419684,Mission Hill,42.33096,-71.11148,Entire home/apt,239,91,9,2019-08-16,0.47,68,365,2020-01-31,168 days 00:00:00.000000000
24469518,"Lux Studio Apt w/rooftop deck, gym, WiFi",9419684,Mission Hill,42.332370000000004,-71.11071,Entire home/apt,289,91,0,,,68,119,2020-01-31,
24470076,"Lux Studio Apt w/rooftop deck, gym, WiFi",9419684,Mission Hill,42.33062,-71.11285,Entire home/apt,289,91,0,,,68,119,2020-01-31,
24484501,Top of the World,114515516,Charlestown,42.38111,-71.07878000000001,Entire home/apt,450,2,69,2019-11-28,3.67,1,301,2020-01-31,64 days 00:00:00.000000000
24501001,Hilltop2- 2 doublebeds 4.6m to BCEC nearT freeprk,95762630,Dorchester,42.30275,-71.0632,Private room,64,2,53,2019-11-10,2.69,6,327,2020-01-31,82 days 00:00:00.000000000
24518149,Boston Commons Condos 2BD 2,8534462,Downtown,42.35263,-71.06351,Entire home/apt,400,91,10,2019-04-23,0.54,133,175,2020-01-31,283 days 00:00:00.000000000
24518213,Boston Commons Condos 2BD 1,8534462,Downtown,42.35148,-71.06366,Entire home/apt,400,91,7,2019-02-11,0.37,133,168,2020-01-31,354 days 00:00:00.000000000
24518923,Boston Commons Condos 2BD 4,8534462,Downtown,42.352759999999996,-71.06312,Entire home/apt,400,91,4,2019-10-30,1.2,133,361,2020-01-31,93 days 00:00:00.000000000
24518974,Boston Commons Condos 2BD 3,8534462,Downtown,42.35305,-71.06299,Entire home/apt,400,91,1,2018-05-20,0.05,133,361,2020-01-31,621 days 00:00:00.000000000
24523214,Hilltop1- Queenbed 4.6m to D-Town Steps 2T freeprk,95762630,Dorchester,42.30239,-71.06365,Private room,50,2,41,2019-11-11,2.09,6,364,2020-01-31,81 days 00:00:00.000000000
24540681,"Lux 3 bedroom apt at Emerson Place w/gym, wifi",9419684,West End,42.36472,-71.06834,Entire home/apt,599,29,5,2018-10-01,0.27,68,25,2020-01-31,487 days 00:00:00.000000000
24540981,"Lux 2 bedroom apt at Emerson Place w/gym, wifi",9419684,West End,42.36567,-71.06945,Entire home/apt,699,29,0,,,68,106,2020-01-31,
24563107,Sunny 2 Bedroom by Charles River,20079643,West End,42.365429999999996,-71.06882,Entire home/apt,300,30,2,2019-10-11,1.0,19,143,2020-01-31,112 days 00:00:00.000000000
24598387,"Beautiful, spacious South Boston Condo, Near T",1788949,South Boston,42.33041,-71.05528000000001,Entire home/apt,240,2,124,2019-12-01,6.36,1,118,2020-01-31,61 days 00:00:00.000000000
24598890,Yellow Quiet room,27871799,Mattapan,42.275079999999996,-71.07696,Private room,60,1,23,2019-08-24,1.22,6,337,2020-01-31,160 days 00:00:00.000000000
24599025,安静阳光的独立卧室,25887440,Brighton,42.34016,-71.15292,Private room,45,91,2,2018-05-28,0.1,1,0,2020-01-31,613 days 00:00:00.000000000
24600107,Entire Home in JP! Perfect for families!,13960633,Jamaica Plain,42.29861,-71.10933,Entire home/apt,400,2,7,2019-07-05,0.37,2,32,2020-01-31,210 days 00:00:00.000000000
24619508,"Hidden Gem near T-Station, Beach & Downtown",103025533,Dorchester,42.31387,-71.05543,Entire home/apt,150,2,58,2019-10-28,3.07,1,229,2020-01-31,95 days 00:00:00.000000000
24623314,High-End Boston 2BR Apt + Upscale Amenities!,30283594,West End,42.364309999999996,-71.06911,Entire home/apt,289,10,0,,,87,352,2020-01-31,
24623318,Boston Furnished 3BR Apt Close to Transportation!,30283594,West End,42.36612,-71.06806,Entire home/apt,319,3,2,2019-06-24,0.15,87,362,2020-01-31,221 days 00:00:00.000000000
24623322,Magnificent Boston 3BR Apt - West End!,30283594,West End,42.364509999999996,-71.06851999999999,Entire home/apt,309,3,3,2019-04-02,0.24,87,359,2020-01-31,304 days 00:00:00.000000000
24623340,#bbs Boston Modern  3BR Apt - Centrally Located,95459395,West End,42.36612,-71.0682,Entire home/apt,349,9,2,2018-11-03,0.15,49,362,2020-01-31,454 days 00:00:00.000000000
24626249,Medical 2 BR Apt at Boston + Upscale Amenities!,163251048,West End,42.36555,-71.06995,Entire home/apt,299,3,0,,,14,351,2020-01-31,
24633212,Clean room near Longwood,80570686,Mission Hill,42.332,-71.10239,Private room,80,2,39,2019-11-03,2.06,4,167,2020-01-31,89 days 00:00:00.000000000
24644312,Convenient Transportation Suburb Boston Room,186235436,West Roxbury,42.27527,-71.16835999999999,Shared room,50,3,11,2019-10-06,0.6,2,0,2020-01-31,117 days 00:00:00.000000000
24645479,Spacious sun-filled room near Longwood,80570686,Mission Hill,42.3323,-71.10173,Private room,90,2,9,2019-08-12,0.52,4,0,2020-01-31,172 days 00:00:00.000000000
24647800,Sunny large room with views and private bath,80570686,Mission Hill,42.331559999999996,-71.10059,Private room,130,2,17,2019-10-23,0.91,4,175,2020-01-31,100 days 00:00:00.000000000
24648787,Spacious private bedroom in modern Brownstone,36650837,Mission Hill,42.33347,-71.10119,Private room,86,1,42,2019-11-06,2.18,2,361,2020-01-31,86 days 00:00:00.000000000
24649082,Private room in modern brownstone next to Longwood,36650837,Mission Hill,42.33423,-71.10122,Private room,67,1,54,2019-11-14,2.79,2,356,2020-01-31,78 days 00:00:00.000000000
24709494,Spacious one bedroom apartment in Boston,7985329,Allston,42.34684,-71.13473,Entire home/apt,111,91,1,2018-05-28,0.05,1,0,2020-01-31,613 days 00:00:00.000000000
24749244,"Stylish Downtown Studio in the SouthEnd, C.Ave# 24",22348222,South End,42.344879999999996,-71.07579,Entire home/apt,150,1,37,2019-10-27,2.03,54,355,2020-01-31,96 days 00:00:00.000000000
24756613,"PERFECT for SUMMER w/ AC, only 3 min WALK to train",156053359,Dorchester,42.29185,-71.06633000000001,Private room,45,28,14,2019-08-31,0.77,8,365,2020-01-31,153 days 00:00:00.000000000
24768622,2bd Boston apartment 20 min to downtown,16052189,Hyde Park,42.23722,-71.13291,Entire home/apt,68,91,0,,,8,269,2020-01-31,
24783227,"Sunny ocean-view suite nr subway w/kitchen, bathr.",9898255,Dorchester,42.31491,-71.06243,Entire home/apt,120,91,77,2019-11-17,4.04,5,359,2020-01-31,75 days 00:00:00.000000000
24809758,"Brighton, MA Guesthouse for rent, Unit 2 (2nd Fl)",166004722,Brighton,42.356,-71.15674,Private room,50,91,5,2019-06-30,0.27,5,349,2020-01-31,215 days 00:00:00.000000000
24809947,Beautiful Apartment with a View,16541124,East Boston,42.38066,-71.03196,Entire home/apt,170,1,46,2019-10-24,2.43,5,90,2020-01-31,99 days 00:00:00.000000000
24826742,Parker Hill 110 | 2BR 1.5BA | Single Family House,71783,Mission Hill,42.32972,-71.10843,Entire home/apt,175,32,38,2019-09-04,2.0,22,306,2020-01-31,149 days 00:00:00.000000000
24829523,3 br town home in quaint neighborhood of Boston,79660976,Mattapan,42.27241,-71.07335,Entire home/apt,100,2,19,2019-11-30,1.01,1,351,2020-01-31,62 days 00:00:00.000000000
